Category,English,Arden (Root),Nominative,Accusative,Genitive,Arden (Adjective)
People,child,chiln,chilna,chilnam,chilnum,
People,adult,aduln,adulna,adulnam,adulnum,
People,human,human,humana,humanam,humanum,
People,friend,frien,friena,frienam,frienum,
People,victim,victn,victna,victnam,victnum,
People,player,playn,playna,playnam,playnum,
People,fan,fann,fanna,fannam,fannum,
People,crowd,crown,crowna,crownam,crownum,
People,person,persn,persna,persnam,persnum,
Job,teacher,teacn,teacna,teacnam,teacnum,
Job,student,studn,studna,studnam,studnum,
Job,lawyer,lawyn,lawyna,lawynam,lawynum,
Job,doctor,doctn,doctna,doctnam,doctnum,
Job,patient,patin,patina,patinam,patinum,
Job,waiter,waitn,waitna,waitnam,waitnum,
Job,secretary,secrn,secrna,secrnam,secrnum,
Job,priest,prien,priena,prienam,prienum,
Job,police,polin,polina,polinam,polinum,
Job,army,armyn,armyna,armynam,armynum,
Job,soldier,soldn,soldna,soldnam,soldnum,
Job,artist,artin,artina,artinam,artinum,
Job,author,authn,authna,authnam,authnum,
Job,manager,manan,manana,mananam,mananum,
Job,reporter,repon,repona,reponam,reponum,
Job,actor,acton,actona,actonam,actonum,
Job,job,jobn,jobna,jobnam,jobnum,
Society,religion,relin,relina,relinam,relinum,
Society,heaven,heavn,heavna,heavnam,heavnum,
Society,hell,helln,hellna,hellnam,hellnum,
Society,death,deatn,deatna,deatnam,deatnum,
Society,medicine,medin,medina,medinam,medinum,
Society,money,monen,monena,monenam,monenum,
Society,dollar,dolln,dollna,dollnam,dollnum,
Society,bill,billn,billna,billnam,billnum,
Society,marriage,marrn,marrna,marrnam,marrnum,
Society,wedding,weddn,weddna,weddnam,weddnum,
Society,team,teamn,teamna,teamnam,teamnum,
Society,relationship,relan,relana,relanam,relanum,
Society,race,racen,racena,racenam,racenum,
Society,ethnicity,ethnn,ethnna,ethnnam,ethnnum,
Society,sex,sexn,sexna,sexnam,sexnum,
Society,gender,gendn,gendna,gendnam,gendnum,
Society,murder,murdn,murdna,murdnam,murdnum,
Society,prison,prisn,prisna,prisnam,prisnum,
Society,technology,techn,techna,technam,technum,
Society,energy,enern,enerna,enernam,enernum,
Society,war,warn,warna,warnam,warnum,
Society,peace,peacn,peacna,peacnam,peacnum,
Society,attack,attan,attana,attanam,attanum,
Society,election,elecn,elecna,elecnam,elecnum,
Society,magazine,magan,magana,maganam,maganum,
Society,newspaper,newsn,newsna,newsnam,newsnum,
Society,poison,poisn,poisna,poisnam,poisnum,
Society,gun,gunn,gunna,gunnam,gunnum,
Society,sport,sporn,sporna,spornam,spornum,
Society,exercise,exern,exerna,exernam,exernum,
Society,ball,balln,ballna,ballnam,ballnum,
Society,game,gamen,gamena,gamenam,gamenum,
Society,price,pricn,pricna,pricnam,pricnum,
Society,contract,contn,contna,contnam,contnum,
Society,drug,drugn,drugna,drugnam,drugnum,
Society,sign,signn,signna,signnam,signnum,
Society,science,scien,sciena,scienam,scienum,
Society,god,godn,godna,godnam,godnum,
